total_crime_reported_per_1_million_res,annual_police_funding_per_res,%_high_school_25yearsPlus,%_16_to_19_not_in_HS,%_18_to_24_in_college,%_college_degree
478,40,74,11,31,20
494,32,72,11,43,18
643,57,70,18,16,16
341,31,71,11,25,19
773,67,72,9,29,24
603,25,68,8,32,15
484,34,68,12,24,14
546,33,62,13,28,11
424,36,69,7,25,12
548,31,66,9,58,15
506,35,60,13,21,9
819,30,81,4,77,36
541,44,66,9,37,12
491,32,67,11,37,16
514,30,65,12,35,11
371,16,64,10,42,14
457,29,64,12,21,10
437,36,62,7,81,27
570,30,59,15,31,16
432,23,56,15,50,15
619,33,46,22,24,8
357,35,54,14,27,13
623,38,54,20,22,11
547,44,45,26,18,8
792,28,57,12,23,11
799,35,57,9,60,18
439,31,61,19,14,12
867,39,52,17,31,10
912,27,44,21,24,9
462,36,43,18,23,8
859,38,48,19,22,10
805,46,57,14,25,12
652,29,47,19,25,9
776,32,50,19,21,9
919,39,48,16,32,11
732,44,49,13,31,14
657,33,72,13,13,22
1419,43,59,14,21,13
989,22,49,9,46,13
821,30,54,13,27,12
1740,86,62,22,18,15
815,30,47,17,39,11
760,32,45,34,15,10
936,43,48,26,23,12
863,20,69,23,7,12
783,55,42,23,23,11
715,44,49,18,30,12
1504,37,57,15,35,13
1324,82,72,22,15,16
940,66,67,26,18,16
387,38,39,17,34,22
396,53,65,23,39,23
746,66,59,20,19,12
293,42,55,10,15,16
354,46,75,16,43,16
156,24,47,19,21,20
292,40,59,20,31,21
221,41,70,17,15,14
337,42,51,15,20,13
222,34,54,27,39,17
554,54,41,9,32,22
300,46,58,14,13,13
673,63,35,23,37,21
631,63,73,19,26,10
604,64,40,17,42,22
225,31,49,21,21,24
512,42,44,21,39,21
95,29,76,23,32,20
500,62,77,26,20,19
604,55,51,19,43,21
-5,20,71,24,24,24
715,60,50,22,24,18
447,48,65,21,35,19
156,24,46,18,31,16
189,25,55,26,41,24
591,64,60,9,44,17
566,61,55,22,19,24
473,53,71,6,28,16
685,64,35,15,18,15
575,66,67,24,15,12
367,41,51,21,14,17
480,55,35,24,15,12
76,23,63,8,40,11
425,56,55,25,14,12
478,58,70,6,14,14
298,41,69,18,24,8
269,31,38,21,30,20
314,38,64,18,35,14
371,38,46,9,38,22
182,36,72,8,16,8
365,46,53,11,32,8
465,41,36,27,37,14
551,45,36,22,36,20
435,46,38,27,45,15
583,57,61,6,41,8
550,52,60,14,33,11
174,27,63,22,43,24
337,39,39,11,16,21
467,53,69,8,31,20
269,39,74,27,29,18
337,36,46,12,39,10
371,36,51,9,42,11
224,25,37,26,20,8
79,27,77,12,38,22
355,44,76,19,46,10
738,66,69,23,37,14
766,60,39,22,41,24
462,40,41,16,31,15
166,24,53,26,37,22
365,47,52,11,35,20
217,40,75,28,39,14
161,21,36,26,24,12
242,28,41,14,20,14
633,58,49,13,21,10
589,50,47,24,39,25
387,42,41,15,32,15
116,29,69,25,13,20
171,31,71,23,44,11
617,56,39,28,38,16
503,48,61,6,46,12
631,57,43,13,18,11
335,38,46,13,26,9
355,40,51,9,21,19
262,34,46,10,14,10
294,40,60,26,15,8
366,42,57,14,22,15
65,27,75,14,19,23
507,62,65,27,32,15
382,44,62,20,44,11
275,31,52,7,44,12
62,28,78,12,27,17
74,23,67,17,38,17
388,44,38,24,16,12
60,24,60,21,17,8
539,62,55,17,14,16
155,26,47,15,17,10
54,26,73,9,22,15
332,41,49,19,34,23
8,25,78,7,32,8
39,26,76,22,33,13
524,59,54,26,38,13
267,39,65,21,45,16
374,47,66,28,21,21
520,50,48,7,41,15
142,28,70,8,39,25
265,39,72,23,34,11
761,61,38,24,40,20
43,27,77,9,37,10
175,33,71,20,23,17
220,28,40,17,22,19
300,44,65,28,17,12
545,57,71,22,27,25
199,25,56,28,45,25
70,24,66,22,36,17
595,63,41,20,28,23
163,36,73,28,17,17
258,35,52,8,28,8
223,30,42,11,19,16
-42,22,76,22,14,12
144,22,35,16,25,8
434,45,43,14,16,12
522,59,78,19,13,19
603,47,35,25,25,13
593,55,39,13,23,19
653,64,58,24,34,12
590,60,65,9,45,20
503,65,77,24,41,9
370,50,71,6,40,12
139,27,51,11,22,12
317,36,57,18,27,24
181,37,69,13,15,24
372,39,41,9,13,25
189,39,78,21,44,19
410,41,40,25,13,8
608,56,55,23,38,19
207,33,59,7,21,8
601,53,47,24,27,22
538,59,62,9,16,13
349,42,60,6,18,12
506,57,55,9,35,14
515,51,61,8,21,23
433,45,51,16,45,18
436,54,74,20,44,13
223,30,40,19,20,11
60,28,74,16,17,23
347,42,54,22,35,10
52,23,62,11,23,10
447,37,37,13,43,18
106,24,56,14,23,23
655,66,48,8,43,14
385,44,42,14,44,9
81,29,73,11,15,15
482,48,49,19,40,15
285,45,67,8,19,9
-45,22,78,23,18,14
544,57,71,19,32,9
